crop,sowing,harvest,dw_max,LAI_max,r_max,r_min,C_factor,CN_A_G,CN_A_B,CN_B_G,CN_B_B,CN_C_G,CN_C_B,CN_D_G,CN_D_B,R_transf
Pšenice ozimá,2021-09-15,2021-07-15,8.2,5.0,90,25.0,0.12,60,63,72,74,80,82,84,85,0.0001
Pšenice jarní,2021-03-20,2021-08-15,10.0,5.0,90,20.0,0.15,60,63,72,74,80,82,84,85,0.0001
Žito ozimé,2021-09-15,2021-08-01,9.4,5.2,90,18.0,0.17,60,63,72,74,80,82,84,85,0.0001
Tritikale,2021-09-15,2021-08-01,9.4,5.2,90,18.0,0.17,60,63,72,74,80,82,84,85,0.0001
Ječmen jarní,2021-03-20,2021-08-01,10.0,5.0,90,20.0,0.15,60,63,72,74,80,82,84,85,0.0001
Ječmen ozimý,2021-09-15,2021-07-15,10.0,5.0,90,20.0,0.17,60,63,72,74,80,82,84,85,0.0001
Oves,2021-04-01,2021-08-15,10.0,4.8,90,21.0,0.1,60,63,72,74,80,82,84,85,0.0001
Kukuřice na zrno,2021-04-20,2021-10-01,10.0,5.0,90,20.0,0.61,64,70,75,79,82,84,85,88,0.0001
Luštěniny,2021-04-01,2021-08-01,10.0,5.0,90,20.0,0.05,60,63,72,74,80,82,84,85,0.0001
Brambory rané,2021-04-10,2021-07-01,10.0,5.0,90,20.0,0.6,64,70,75,79,82,84,85,88,0.0001
Brambory pozdní,2021-04-20,2021-09-20,10.0,5.0,90,20.0,0.44,64,70,75,79,82,84,85,88,0.0001
Louky I. Seč,2021-08-31,2021-07-15,10.0,5.0,90,20.0,0.005,30,30,58,58,71,71,78,78,0.0001
Louky II. Seč,2021-08-31,2021-07-15,10.0,5.0,90,20.0,0.005,30,30,58,58,71,71,78,78,0.0001
Louky III. Seč,2021-08-31,2021-07-15,10.0,5.0,90,20.0,0.005,30,30,58,58,71,71,78,78,0.0001
Chmel,2021-01-31,2021-07-15,10.0,5.0,90,20.0,0.8,32,57,58,73,72,82,79,86,0.0001
Řepka ozimá,2021-09-01,2021-07-15,10.0,5.0,90,20.0,0.22,60,63,72,74,80,82,84,85,0.0001
Slunečnice,2021-08-31,2021-07-15,10.0,5.0,90,20.0,0.6,64,70,75,79,82,84,85,88,0.0001
Mák,2021-08-31,2021-07-15,10.0,5.0,90,20.0,0.5,64,70,75,79,82,84,85,88,0.0001
Ostatní olejniny,2021-08-31,2021-07-15,10.0,5.0,90,20.0,0.22,60,63,72,74,80,82,84,85,0.0001
Kukuřice na siláž,2021-08-31,2021-07-15,10.0,5.0,90,20.0,0.72,64,70,75,79,82,84,85,88,0.0001
Ostatní pícniny jednoleté,2021-08-31,2021-07-15,10.0,5.0,90,20.0,0.02,60,63,72,74,80,82,84,85,0.0001
Ostatní pícniny víceleté,2021-08-31,2021-07-15,10.0,5.0,90,20.0,0.01,55,64,69,75,78,83,83,85,0.0001
Zelenina,2021-08-31,2021-07-15,10.0,5.0,90,20.0,0.45,64,70,75,79,82,84,85,88,0.0001
Sady,1999-01-01,1999-01-01,0,0,0,0,0.45,32,57,58,73,72,82,79,86,0
Lesy,1999-01-01,1999-01-01,0,0,0,0,0.001,30,45,55,66,70,77,77,83,0
Zástavba,1999-01-01,1999-01-01,0,0,0,0,0.8,80,80,80,80,80,80,80,80,0
Holá půda,1999-01-01,1999-01-01,0,0,0,0,0.9,77,75,86,84,91,89,94,92,0
Ostatní,1999-01-01,1999-01-01,0,0,0,0,0.9,77,75,86,84,91,89,94,92,0
