HPJ,HPS,K_factor
1,B,"0,41"
2,B,"0,46"
3,C,"0,35"
4,A,"0,16"
5,A,"0,28"
6,C,"0,32"
7,D,"0,26"
8,B,"0,49"
9,B,"0,60"
10,B,"0,53"
11,B,"0,52"
12,B,"0,50"
13,B,"0,54"
14,B,"0,59"
15,B,"0,51"
16,B,"0,51"
17,A,"0,40"
18,B,"0,24"
19,B,"0,33"
20,D,"0,28"
21,A,"0,15"
22,B,"0,24"
23,C,"0,25"
24,B,"0,38"
25,B,"0,45"
26,B,"0,41"
27,B,"0,34"
28,B,"0,29"
29,B,"0,32"
30,B,"0,23"
31,A,"0,16"
32,A,"0,19"
33,B,"0,31"
34,B,"0,26"
35,B,"0,36"
36,B,"0,26"
37,B,"0,16"
38,B,"0,31"
39,C,
40,B,"0,24"
41,B,"0,33"
42,B,"0,56"
43,B,"0,58"
44,C,"0,56"
45,C,"0,54"
46,C,"0,47"
47,C,"0,43"
48,C,"0,41"
49,D,"0,35"
50,C,"0,33"
51,C,"0,26"
52,C,"0,37"
53,D,"0,38"
54,D,"0,40"
55,A,"0,25"
56,B,"0,40"
57,C,"0,45"
58,C,"0,42"
59,D,"0,35"
60,B,"0,31"
61,D,"0,32"
62,C,"0,35"
63,D,"0,31"
64,C,"0,40"
65,C,
66,D,
67,D,"0,44"
68,D,"0,49"
69,D,
70,D,"0,41"
71,D,"0,47"
72,D,"0,48"
73,D,"0,48"
74,D,
75,C,
76,D,
77,C,
78,C,
